make,model,mileage,fuel-type,first-registration,price
suzuki,ignis,1,2,12-2023,19990
suzuki,ignis,7000,2,11-2021,20200
suzuki,ignis,unknown,2,new,20250
suzuki,ignis,unknown,2,new,20250
suzuki,ignis,unknown,2,new,20250
suzuki,ignis,unknown,2,new,20600
suzuki,ignis,unknown,2,new,20600
suzuki,ignis,unknown,2,new,20600
suzuki,ignis,unknown,2,new,20600
suzuki,ignis,10,2,11-2023,20897
suzuki,ignis,10,2,12-2023,20900
suzuki,ignis,unknown,2,new,21000
suzuki,ignis,unknown,2,new,21100
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,10,2,01-2024,21770
suzuki,ignis,45,2,12-2023,21900
suzuki,ignis,1,b,01-2024,23000
suzuki,ignis,37000,2,05-2018,15900
suzuki,ignis,80500,l,07-2020,15000
suzuki,ignis,10,2,05-2023,22800
suzuki,ignis,88363,2,03-2019,14950
suzuki,ignis,49385,l,05-2018,13300
suzuki,ignis,169000,b,07-2008,3500
suzuki,ignis,unknown,2,new,17000
suzuki,ignis,5000,2,06-2021,16000
suzuki,ignis,4130,2,03-2022,16900
suzuki,ignis,4130,2,03-2022,16900
suzuki,ignis,167000,b,10-2007,3800
suzuki,ignis,38400,2,08-2020,15800
suzuki,ignis,70718,b,12-2021,11500
suzuki,ignis,55202,2,02-2019,13900
suzuki,ignis,unknown,2,new,17000
suzuki,ignis,3474,2,06-2021,16300
suzuki,ignis,132110,d,04-2004,4200
suzuki,ignis,17097,2,05-2021,16300
suzuki,ignis,54304,2,12-2019,15490
suzuki,ignis,3381,2,03-2023,16950
suzuki,ignis,1,2,11-2023,19400
suzuki,ignis,64500,b,07-2017,16200
suzuki,ignis,1023,2,01-2019,17500
suzuki,ignis,unknown,2,new,18900
suzuki,ignis,unknown,2,new,17000
suzuki,ignis,1023,2,01-2019,17500
suzuki,ignis,unknown,2,new,18900
