make,model,mileage,fuel-type,first-registration,price,mileage_grouped
suzuki,ignis,153000,b,01-2007,5500,153000
suzuki,ignis,29678,b,02-2021,16100,29000
suzuki,ignis,66000,b,01-2019,13850,66000
suzuki,ignis,100,2,10-2023,17950,0
suzuki,ignis,22800,2,07-2021,16250,22000
suzuki,ignis,0,b,new,18499,0
suzuki,ignis,1,2,06-2023,19900,0
suzuki,ignis,7600,2,06-2021,16000,7000
suzuki,ignis,57800,b,01-2018,16450,57000
suzuki,ignis,60923,b,08-2019,16900,60000
suzuki,ignis,63000,2,05-2018,16200,63000
suzuki,ignis,15,2,11-2023,23300,0
suzuki,ignis,54900,b,08-2019,16950,54000
suzuki,ignis,38000,2,03-2017,17000,38000
suzuki,ignis,20300,2,06-2021,19600,20000
suzuki,ignis,31900,b,06-2019,17900,31000
suzuki,ignis,29400,2,05-2020,18500,29000
suzuki,ignis,54730,b,06-2018,17300,54000
suzuki,ignis,0,2,12-2023,22900,0
suzuki,ignis,1,2,09-2023,22450,0
suzuki,ignis,84000,b,10-2018,15900,84000
suzuki,ignis,80500,2,01-2020,16000,80000
suzuki,ignis,0,2,10-2023,22900,0
suzuki,ignis,1,2,07-2023,22800,0
suzuki,ignis,1,2,05-2023,22800,0
suzuki,ignis,42800,b,07-2017,16500,42000
suzuki,ignis,56000,2,05-2019,15600,56000
suzuki,ignis,41100,2,01-2020,14400,41000
suzuki,ignis,16743,2,03-2021,17800,16000
suzuki,ignis,30000,2,11-2020,17900,30000
suzuki,ignis,40127,2,02-2017,14900,40000
suzuki,ignis,58000,2,11-2019,15500,58000
suzuki,ignis,5,2,09-2023,17920,0
suzuki,ignis,36000,2,02-2022,20200,36000
suzuki,ignis,54475,b,09-2017,16900,54000
suzuki,ignis,135000,2,06-2017,8200,135000
suzuki,ignis,35116,b,12-2017,11900,35000
suzuki,ignis,35116,b,07-2017,11500,35000
suzuki,ignis,290,2,01-2022,20500,0
suzuki,ignis,33428,2,02-2021,18900,33000
suzuki,ignis,11300,2,10-2021,16900,11000
suzuki,ignis,45900,2,09-2020,13900,45000
suzuki,ignis,24500,2,10-2019,13590,24000
suzuki,ignis,47700,2,02-2017,12800,47000
suzuki,ignis,28000,b,01-2020,16900,28000
suzuki,ignis,78000,2,11-2020,14150,78000
suzuki,ignis,25000,2,08-2021,16500,25000
suzuki,ignis,72000,b,12-2008,6950,72000
suzuki,ignis,15000,b,02-2018,17800,15000
suzuki,ignis,24900,b,01-2017,15900,24000
suzuki,ignis,28592,b,03-2019,17490,28000
suzuki,ignis,1,b,01-2023,22993,0
suzuki,ignis,45000,b,08-2018,17500,45000
